"ensembl_gene_id","hgnc_symbol","percentage_gene_gc_content","gene_biotype","chromosome_name","gene_length"
"ENSG00000000938","FGR",52.92,"protein_coding","1",6751
"ENSG00000001460","STPG1",44.09,"protein_coding","1",15516
"ENSG00000001461","NIPAL3",44.99,"protein_coding","1",11425
"ENSG00000004487","KDM1A",39.17,"protein_coding","1",9049
"ENSG00000007923","DNAJC11",46.6,"protein_coding","1",10669
"ENSG00000007968","E2F2",51.65,"protein_coding","1",5746
"ENSG00000008128","CDK11A",52.05,"protein_coding","1",14794
"ENSG00000008130","NADK",53.7,"protein_coding","1",10785
"ENSG00000009709","PAX7",52.36,"protein_coding","1",8168
"ENSG00000009724","MASP2",50.21,"protein_coding","1",5275
"ENSG00000009780","FAM76A",43.35,"protein_coding","1",7115
"ENSG00000011007","ELOA",45.7,"protein_coding","1",8886
"ENSG00000011009","LYPLA2",62.28,"protein_coding","1",6202
"ENSG00000011021","CLCN6",48.13,"protein_coding","1",15649
"ENSG00000020633","RUNX3",54.8,"protein_coding","1",10578
"ENSG00000028137","TNFRSF1B",55.4,"protein_coding","1",7857
"ENSG00000037637","FBXO42",43.86,"protein_coding","1",10307
"ENSG00000040487","SLC66A1",54.93,"protein_coding","1",4674
"ENSG00000041988","THAP3",56.77,"protein_coding","1",7133
"ENSG00000048707","VPS13D",42.34,"protein_coding","1",38140
"ENSG00000049239","H6PD",52.29,"protein_coding","1",17049
"ENSG00000049245","VAMP3",42.69,"protein_coding","1",3354
"ENSG00000049246","PER3",40.53,"protein_coding","1",13268
"ENSG00000049247","UTS2",40.81,"protein_coding","1",2270
"ENSG00000049249","TNFRSF9",43.95,"protein_coding","1",7957
"ENSG00000053371","AKR7A2",52.87,"protein_coding","1",3822
"ENSG00000053372","MRTO4",52.85,"protein_coding","1",3036
"ENSG00000054523","KIF1B",41.99,"protein_coding","1",31741
"ENSG00000055070","SZRD1",48.1,"protein_coding","1",10600
"ENSG00000057757","PITHD1",44.53,"protein_coding","1",2464
"ENSG00000058453","CROCC",49.14,"protein_coding","1",14270
"ENSG00000060642","PIGV",48.34,"protein_coding","1",6246
"ENSG00000065526","SPEN",43.57,"protein_coding","1",17201
"ENSG00000067606","PRKCZ",56.45,"protein_coding","1",14590
"ENSG00000069424","KCNAB2",56.04,"protein_coding","1",62221
"ENSG00000069812","HES2",57.51,"protein_coding","1",7654
"ENSG00000070831","CDC42",43.81,"protein_coding","1",21513
"ENSG00000070886","EPHA8",56.84,"protein_coding","1",5936
"ENSG00000074800","ENO1",50.15,"protein_coding","1",10857
"ENSG00000074964","ARHGEF10L",54.39,"protein_coding","1",15741
"ENSG00000075151","EIF4G3",39.36,"protein_coding","1",15745
"ENSG00000076864","RAP1GAP",56.63,"protein_coding","1",11746
"ENSG00000077549","CAPZB",49.21,"protein_coding","1",7075
"ENSG00000078369","GNB1",46.7,"protein_coding","1",10721
"ENSG00000078808","SDF4",61.39,"protein_coding","1",12958
"ENSG00000078900","TP73",59.52,"protein_coding","1",18890
"ENSG00000080947","CROCCP3",51.27,"transcribed_unprocessed_pseudogene","1",8268
"ENSG00000083444","PLOD1",53.54,"protein_coding","1",8769
"ENSG00000088280","ASAP3",49.67,"protein_coding","1",11864
"ENSG00000090020","SLC9A1",51.7,"protein_coding","1",10933
"ENSG00000090273","NUDC",48.43,"protein_coding","1",3184
"ENSG00000090432","MUL1",47.5,"protein_coding","1",2428
"ENSG00000090686","USP48",41.84,"protein_coding","1",14979
"ENSG00000097021","ACOT7",54,"protein_coding","1",6527
"ENSG00000107404","DVL1",66.32,"protein_coding","1",8839
"ENSG00000116138","DNAJC16",44.67,"protein_coding","1",21980
"ENSG00000116151","MORN1",57.29,"protein_coding","1",16532
"ENSG00000116198","CEP104",47.92,"protein_coding","1",12171
